Code;Channel Quality;BER;Total Bytes;Total Byte Errors;Total blocks;Average Errors per Block
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;MEDIUM;0,002;354960;5586;1392;4,012931034482759
Reed Solomon;BAD;0,02;354960;53043;1392;38,105603448275865
Reed Solomon;GOOD;0,0003;360570;909;1414;0,6428571428571429
Reed Solomon;MEDIUM;0,002;360570;5584;1414;3,949080622347949
Reed Solomon;BAD;0,02;360570;53989;1414;38,18175388967468
Reed Solomon;GOOD;0,0003;382245;904;1499;0,6030687124749833
Reed Solomon;MEDIUM;0,002;382245;6118;1499;4,081387591727818
Reed Solomon;BAD;0,02;382245;56771;1499;37,872581721147434
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;MEDIUM;0,002;354960;5610;1392;4,030172413793103
Reed Solomon;BAD;0,02;354960;53301;1392;38,29094827586207
Reed Solomon;GOOD;0,0003;354960;892;1392;0,6408045977011494
Reed Solomon;GOOD;0,0003;354960;868;1392;0,6235632183908046
Reed Solomon;MEDIUM;0,002;354960;5610;1392;4,030172413793103
Reed Solomon;BAD;0,02;354960;53251;1392;38,25502873563219
Reed Solomon;BAD;0,02;354960;52840;1392;37,95977011494253
Reed Solomon;BAD;0,02;354960;52874;1392;37,98419540229885
Reed Solomon;BAD;0,02;354960;52819;1392;37,944683908045974
Reed Solomon;BAD;0,02;354960;52983;1392;38,0625
Reed Solomon;GOOD;0,0003;354960;832;1392;0,5977011494252874
Reed Solomon;MEDIUM;0,002;354960;5640;1392;4,051724137931035
Reed Solomon;BAD;0,02;354960;52996;1392;38,07183908045977
Reed Solomon;GOOD;0,0003;360570;865;1414;0,6117397454031117
Reed Solomon;MEDIUM;0,002;360570;5583;1414;3,948373408769448
Reed Solomon;BAD;0,02;360570;53760;1414;38,01980198019802
Reed Solomon;GOOD;0,0003;382245;921;1499;0,6144096064042696
Reed Solomon;MEDIUM;0,002;382245;5957;1499;3,973982655103402
Reed Solomon;BAD;0,02;382245;56638;1499;37,78385590393596
Reed Solomon;GOOD;0,0003;382245;844;1499;0,5630420280186791
Reed Solomon;MEDIUM;0,002;382245;6082;1499;4,057371581054036
Reed Solomon;BAD;0,02;382245;57132;1499;38,11340893929286
Reed Solomon;GOOD;0,0003;382245;931;1499;0,6210807204803203
Reed Solomon;MEDIUM;0,002;382245;6071;1499;4,05003335557038
Reed Solomon;BAD;0,02;382245;57074;1499;38,07471647765177
Reed Solomon;GOOD;0,0003;354960;908;1392;0,6522988505747126
Reed Solomon;MEDIUM;0,002;354960;5697;1392;4,092672413793103
Reed Solomon;BAD;0,02;354960;52651;1392;37,82399425287356
Reed Solomon;GOOD;0,0003;360570;873;1414;0,6173974540311173
Reed Solomon;MEDIUM;0,002;360570;5682;1414;4,018387553041018
Reed Solomon;BAD;0,02;360570;53570;1414;37,88543140028288
Reed Solomon;GOOD;0,0003;382245;890;1499;0,5937291527685123
Reed Solomon;MEDIUM;0,002;382245;6128;1499;4,088058705803869
Reed Solomon;BAD;0,02;382245;57155;1499;38,128752501667776
Reed Solomon;GOOD;0,0003;354960;869;1392;0,6242816091954023
Reed Solomon;GOOD;0,0003;354960;872;1392;0,6264367816091954
Reed Solomon;GOOD;0,0003;354960;872;1392;0,6264367816091954
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;864;1392;0,6206896551724138
Reed Solomon;GOOD;0,0003;354960;822;1392;0,5905172413793104
Reed Solomon;GOOD;0,0003;354960;884;1392;0,6350574712643678
Reed Solomon;GOOD;0,0003;354960;882;1392;0,6336206896551724
Reed Solomon;GOOD;0,0003;354960;891;1392;0,6400862068965517
Reed Solomon;GOOD;0,0003;354960;868;1392;0,6235632183908046
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;354960;882;1392;0,6336206896551724
Reed Solomon;GOOD;0,0003;354960;863;1392;0,6199712643678161
Reed Solomon;GOOD;0,0003;354960;877;1392;0,6300287356321839
Reed Solomon;GOOD;0,0003;354960;903;1392;0,6487068965517241
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;354960;835;1392;0,5998563218390804
Reed Solomon;GOOD;0,0003;354960;839;1392;0,6027298850574713
Reed Solomon;GOOD;0,0003;354960;878;1392;0,6307471264367817
Reed Solomon;GOOD;0,0003;354960;871;1392;0,6257183908045977
Reed Solomon;GOOD;0,0003;354960;815;1392;0,5854885057471264
Reed Solomon;GOOD;0,0003;354960;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;354960;852;1392;0,6120689655172413
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;840;1392;0,603448275862069
Reed Solomon;GOOD;0,0003;354960;860;1392;0,617816091954023
Reed Solomon;GOOD;0,0003;354960;876;1392;0,6293103448275862
Reed Solomon;GOOD;0,0003;354960;875;1392;0,6285919540229885
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;818;1392;0,5876436781609196
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;789;1392;0,5668103448275862
Reed Solomon;GOOD;0,0003;354960;868;1392;0,6235632183908046
Reed Solomon;GOOD;0,0003;354960;889;1392;0,6386494252873564
Reed Solomon;GOOD;0,0003;354960;822;1392;0,5905172413793104
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;793;1392;0,569683908045977
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;794;1392;0,5704022988505747
Reed Solomon;GOOD;0,0003;354960;843;1392;0,6056034482758621
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;826;1392;0,5933908045977011
Reed Solomon;GOOD;0,0003;354960;886;1392;0,6364942528735632
Reed Solomon;GOOD;0,0003;354960;858;1392;0,6163793103448276
Reed Solomon;GOOD;0,0003;354960;832;1392;0,5977011494252874
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;892;1392;0,6408045977011494
Reed Solomon;GOOD;0,0003;354960;852;1392;0,6120689655172413
Reed Solomon;GOOD;0,0003;354960;872;1392;0,6264367816091954
Reed Solomon;GOOD;0,0003;354960;793;1392;0,569683908045977
Reed Solomon;GOOD;0,0003;354960;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;849;1392;0,6099137931034483
Reed Solomon;GOOD;0,0003;354960;811;1392;0,5826149425287356
Reed Solomon;GOOD;0,0003;354960;829;1392;0,5955459770114943
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;869;1392;0,6242816091954023
Reed Solomon;GOOD;0,0003;354960;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;354960;838;1392;0,6020114942528736
Reed Solomon;GOOD;0,0003;354960;871;1392;0,6257183908045977
Reed Solomon;GOOD;0,0003;354960;848;1392;0,6091954022988506
Reed Solomon;GOOD;0,0003;354960;807;1392;0,5797413793103449
Reed Solomon;GOOD;0,0003;354960;836;1392;0,6005747126436781
Reed Solomon;GOOD;0,0003;354960;851;1392;0,6113505747126436
Reed Solomon;GOOD;0,0003;354960;826;1392;0,5933908045977011
Reed Solomon;GOOD;0,0003;354960;881;1392;0,6329022988505747
Reed Solomon;GOOD;0,0003;354960;827;1392;0,5941091954022989
Reed Solomon;GOOD;0,0003;354960;879;1392;0,6314655172413793
Reed Solomon;GOOD;0,0003;354960;812;1392;0,5833333333333334
Reed Solomon;GOOD;0,0003;354960;861;1392;0,6185344827586207
Reed Solomon;GOOD;0,0003;354960;857;1392;0,6156609195402298
Reed Solomon;GOOD;0,0003;354960;852;1392;0,6120689655172413
Reed Solomon;GOOD;0,0003;354960;845;1392;0,6070402298850575
Reed Solomon;GOOD;0,0003;354960;902;1392;0,6479885057471264
Reed Solomon;GOOD;0,0003;354960;881;1392;0,6329022988505747
Reed Solomon;GOOD;0,0003;354960;842;1392;0,6048850574712644
Reed Solomon;GOOD;0,0003;354960;877;1392;0,6300287356321839
Reed Solomon;GOOD;0,0003;354960;853;1392;0,6127873563218391
Reed Solomon;GOOD;0,0003;354960;837;1392;0,6012931034482759
Reed Solomon;GOOD;0,0003;354960;790;1392;0,5675287356321839
Reed Solomon;GOOD;0,0003;354960;901;1392;0,6472701149425287
Reed Solomon;GOOD;0,0003;354960;883;1392;0,6343390804597702
Reed Solomon;GOOD;0,0003;354960;896;1392;0,6436781609195402
Reed Solomon;GOOD;0,0003;354960;854;1392;0,6135057471264368
Reed Solomon;GOOD;0,0003;354960;849;1392;0,6099137931034483
Reed Solomon;GOOD;0,0003;354960;839;1392;0,6027298850574713
Reed Solomon;GOOD;0,0003;354960;870;1392;0,625
Reed Solomon;GOOD;0,0003;354960;908;1392;0,6522988505747126
Reed Solomon;GOOD;0,0003;354960;858;1392;0,6163793103448276
Reed Solomon;GOOD;0,0003;354960;870;1392;0,625
Reed Solomon;GOOD;0,0003;354960;896;1392;0,6436781609195402
Reed Solomon;GOOD;0,0003;354960;824;1392;0,5919540229885057
Reed Solomon;GOOD;0,0003;354960;841;1392;0,6041666666666666
Reed Solomon;GOOD;0,0003;354960;833;1392;0,5984195402298851
Reed Solomon;GOOD;0,0003;354960;855;1392;0,6142241379310345
Reed Solomon;GOOD;0,0003;354960;857;1392;0,6156609195402298
Reed Solomon;GOOD;0,0003;354960;784;1392;0,5632183908045977
Reed Solomon;GOOD;0,0003;354960;857;1392;0,6156609195402298
Reed Solomon;MEDIUM;0,002;354960;5648;1392;4,057471264367816
Reed Solomon;MEDIUM;0,002;354960;5603;1392;4,025143678160919
Reed Solomon;MEDIUM;0,002;354960;5625;1392;4,040948275862069
Reed Solomon;MEDIUM;0,002;354960;5644;1392;4,054597701149425
Reed Solomon;MEDIUM;0,002;354960;5589;1392;4,015086206896552
Reed Solomon;MEDIUM;0,002;354960;5697;1392;4,092672413793103
Reed Solomon;MEDIUM;0,002;354960;5686;1392;4,084770114942529
Reed Solomon;MEDIUM;0,002;354960;5767;1392;4,142959770114943
Reed Solomon;MEDIUM;0,002;354960;5642;1392;4,05316091954023
Reed Solomon;MEDIUM;0,002;354960;5543;1392;3,9820402298850577
Reed Solomon;MEDIUM;0,002;354960;5593;1392;4,017959770114943
Reed Solomon;MEDIUM;0,002;354960;5562;1392;3,9956896551724137
Reed Solomon;MEDIUM;0,002;354960;5532;1392;3,9741379310344827
Reed Solomon;MEDIUM;0,002;354960;5678;1392;4,079022988505747
Reed Solomon;MEDIUM;0,002;354960;5732;1392;4,117816091954023
Reed Solomon;MEDIUM;0,002;354960;5764;1392;4,140804597701149
Reed Solomon;MEDIUM;0,002;354960;5590;1392;4,015804597701149
Reed Solomon;MEDIUM;0,002;354960;5734;1392;4,119252873563219
Reed Solomon;MEDIUM;0,002;354960;5696;1392;4,091954022988506
Reed Solomon;MEDIUM;0,002;354960;5601;1392;4,023706896551724
Reed Solomon;MEDIUM;0,002;354960;5687;1392;4,085488505747127
Reed Solomon;MEDIUM;0,002;354960;5639;1392;4,051005747126437
Reed Solomon;MEDIUM;0,002;354960;5698;1392;4,093390804597701
Reed Solomon;MEDIUM;0,002;354960;5556;1392;3,9913793103448274
Reed Solomon;MEDIUM;0,002;354960;5730;1392;4,116379310344827
Reed Solomon;MEDIUM;0,002;354960;5634;1392;4,047413793103448
Reed Solomon;MEDIUM;0,002;354960;5621;1392;4,038074712643678
Reed Solomon;MEDIUM;0,002;354960;5631;1392;4,045258620689655
Reed Solomon;MEDIUM;0,002;354960;5540;1392;3,9798850574712645
Reed Solomon;MEDIUM;0,002;354960;5623;1392;4,039511494252873
Reed Solomon;MEDIUM;0,002;354960;5610;1392;4,030172413793103
Reed Solomon;MEDIUM;0,002;354960;5697;1392;4,092672413793103
Reed Solomon;MEDIUM;0,002;354960;5707;1392;4,099856321839081
Reed Solomon;MEDIUM;0,002;354960;5636;1392;4,0488505747126435
Reed Solomon;MEDIUM;0,002;354960;5495;1392;3,9475574712643677
Reed Solomon;MEDIUM;0,002;354960;5610;1392;4,030172413793103
Reed Solomon;MEDIUM;0,002;354960;5575;1392;4,005028735632184
Reed Solomon;MEDIUM;0,002;354960;5693;1392;4,089798850574713
Reed Solomon;MEDIUM;0,002;354960;5574;1392;4,004310344827586
Reed Solomon;MEDIUM;0,002;354960;5536;1392;3,9770114942528734
Reed Solomon;MEDIUM;0,002;354960;5720;1392;4,109195402298851
Reed Solomon;MEDIUM;0,002;354960;5468;1392;3,92816091954023
Reed Solomon;MEDIUM;0,002;354960;5657;1392;4,063936781609195
Reed Solomon;MEDIUM;0,002;354960;5499;1392;3,9504310344827585
Reed Solomon;MEDIUM;0,002;354960;5596;1392;4,0201149425287355
Reed Solomon;MEDIUM;0,002;354960;5559;1392;3,9935344827586206
Reed Solomon;MEDIUM;0,002;354960;5506;1392;3,9554597701149423
Reed Solomon;MEDIUM;0,002;354960;5535;1392;3,976293103448276
Reed Solomon;MEDIUM;0,002;354960;5717;1392;4,107040229885057
Reed Solomon;MEDIUM;0,002;354960;5549;1392;3,9863505747126435
Reed Solomon;MEDIUM;0,002;354960;5636;1392;4,0488505747126435
Reed Solomon;MEDIUM;0,002;354960;5626;1392;4,041666666666667
Reed Solomon;MEDIUM;0,002;354960;5592;1392;4,017241379310345
Reed Solomon;MEDIUM;0,002;354960;5674;1392;4,0761494252873565
Reed Solomon;MEDIUM;0,002;354960;5639;1392;4,051005747126437
Reed Solomon;MEDIUM;0,002;354960;5601;1392;4,023706896551724
Reed Solomon;MEDIUM;0,002;354960;5641;1392;4,052442528735632
Reed Solomon;MEDIUM;0,002;354960;5668;1392;4,07183908045977
Reed Solomon;MEDIUM;0,002;354960;5644;1392;4,054597701149425
Reed Solomon;MEDIUM;0,002;354960;5561;1392;3,994971264367816
Reed Solomon;MEDIUM;0,002;354960;5535;1392;3,976293103448276
Reed Solomon;MEDIUM;0,002;354960;5673;1392;4,075431034482759
Reed Solomon;MEDIUM;0,002;354960;5779;1392;4,151580459770115
Reed Solomon;MEDIUM;0,002;354960;5617;1392;4,035201149425287
Reed Solomon;MEDIUM;0,002;354960;5607;1392;4,0280172413793105
Reed Solomon;MEDIUM;0,002;354960;5602;1392;4,024425287356322
Reed Solomon;MEDIUM;0,002;354960;5648;1392;4,057471264367816
Reed Solomon;MEDIUM;0,002;354960;5702;1392;4,096264367816092
Reed Solomon;MEDIUM;0,002;354960;5731;1392;4,117097701149425
Reed Solomon;MEDIUM;0,002;354960;5647;1392;4,056752873563219
Reed Solomon;MEDIUM;0,002;354960;5728;1392;4,114942528735632
Reed Solomon;MEDIUM;0,002;354960;5683;1392;4,0826149425287355
Reed Solomon;MEDIUM;0,002;354960;5558;1392;3,992816091954023
Reed Solomon;MEDIUM;0,002;354960;5602;1392;4,024425287356322
Reed Solomon;MEDIUM;0,002;354960;5530;1392;3,9727011494252875
Reed Solomon;MEDIUM;0,002;354960;5633;1392;4,046695402298851
Reed Solomon;MEDIUM;0,002;354960;5596;1392;4,0201149425287355
Reed Solomon;MEDIUM;0,002;354960;5749;1392;4,130028735632184
Reed Solomon;MEDIUM;0,002;354960;5740;1392;4,123563218390805
Reed Solomon;MEDIUM;0,002;354960;5655;1392;4,0625
Reed Solomon;MEDIUM;0,002;354960;5521;1392;3,966235632183908
Reed Solomon;MEDIUM;0,002;354960;5621;1392;4,038074712643678
Reed Solomon;MEDIUM;0,002;354960;5574;1392;4,004310344827586
Reed Solomon;MEDIUM;0,002;354960;5679;1392;4,079741379310345
Reed Solomon;MEDIUM;0,002;354960;5793;1392;4,161637931034483
Reed Solomon;MEDIUM;0,002;354960;5726;1392;4,113505747126437
Reed Solomon;MEDIUM;0,002;354960;5620;1392;4,037356321839081
Reed Solomon;MEDIUM;0,002;354960;5564;1392;3,9971264367816093
Reed Solomon;MEDIUM;0,002;354960;5545;1392;3,983477011494253
Reed Solomon;MEDIUM;0,002;354960;5603;1392;4,025143678160919
Reed Solomon;MEDIUM;0,002;354960;5639;1392;4,051005747126437
Reed Solomon;MEDIUM;0,002;354960;5617;1392;4,035201149425287
Reed Solomon;MEDIUM;0,002;354960;5603;1392;4,025143678160919
Reed Solomon;MEDIUM;0,002;354960;5593;1392;4,017959770114943
Reed Solomon;MEDIUM;0,002;354960;5581;1392;4,00933908045977
Reed Solomon;MEDIUM;0,002;354960;5668;1392;4,07183908045977
Reed Solomon;MEDIUM;0,002;354960;5674;1392;4,0761494252873565
Reed Solomon;MEDIUM;0,002;354960;5714;1392;4,1048850574712645
Reed Solomon;MEDIUM;0,002;354960;5668;1392;4,07183908045977
Reed Solomon;MEDIUM;0,002;354960;5485;1392;3,9403735632183907
Reed Solomon;BAD;0,02;354960;52998;1392;38,07327586206897
Reed Solomon;BAD;0,02;354960;52746;1392;37,89224137931034
Reed Solomon;BAD;0,02;354960;52897;1392;38,0007183908046
Reed Solomon;BAD;0,02;354960;53066;1392;38,122126436781606
Reed Solomon;BAD;0,02;354960;52932;1392;38,025862068965516
Reed Solomon;BAD;0,02;354960;52970;1392;38,05316091954023
Reed Solomon;BAD;0,02;354960;52900;1392;38,002873563218394
Reed Solomon;BAD;0,02;354960;52861;1392;37,97485632183908
Reed Solomon;BAD;0,02;354960;52745;1392;37,89152298850575
Reed Solomon;BAD;0,02;354960;52878;1392;37,98706896551724
Reed Solomon;BAD;0,02;354960;53108;1392;38,15229885057471
Reed Solomon;BAD;0,02;354960;52787;1392;37,92169540229885
Reed Solomon;BAD;0,02;354960;53095;1392;38,14295977011494
Reed Solomon;BAD;0,02;354960;53110;1392;38,15373563218391
Reed Solomon;BAD;0,02;354960;53040;1392;38,10344827586207
Reed Solomon;BAD;0,02;354960;53167;1392;38,194683908045974
Reed Solomon;BAD;0,02;354960;53104;1392;38,14942528735632
Reed Solomon;BAD;0,02;354960;52900;1392;38,002873563218394
Reed Solomon;BAD;0,02;354960;52979;1392;38,059626436781606
Reed Solomon;BAD;0,02;354960;52747;1392;37,89295977011494
Reed Solomon;BAD;0,02;354960;52988;1392;38,06609195402299
Reed Solomon;BAD;0,02;354960;53065;1392;38,12140804597701
Reed Solomon;BAD;0,02;354960;53400;1392;38,36206896551724
Reed Solomon;BAD;0,02;354960;53037;1392;38,10129310344828
Reed Solomon;BAD;0,02;354960;52852;1392;37,9683908045977
Reed Solomon;BAD;0,02;354960;53105;1392;38,15014367816092
Reed Solomon;BAD;0,02;354960;52650;1392;37,82327586206897
Reed Solomon;BAD;0,02;354960;53002;1392;38,076149425287355
Reed Solomon;BAD;0,02;354960;52890;1392;37,99568965517241
Reed Solomon;BAD;0,02;354960;53160;1392;38,189655172413794
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;52891;1392;37,99640804597701
Reed Solomon;BAD;0,02;354960;52968;1392;38,05172413793103
Reed Solomon;BAD;0,02;354960;52609;1392;37,79382183908046
Reed Solomon;BAD;0,02;354960;52553;1392;37,75359195402299
Reed Solomon;BAD;0,02;354960;53052;1392;38,11206896551724
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;52662;1392;37,831896551724135
Reed Solomon;BAD;0,02;354960;53090;1392;38,139367816091955
Reed Solomon;BAD;0,02;354960;52965;1392;38,04956896551724
Reed Solomon;BAD;0,02;354960;52808;1392;37,9367816091954
Reed Solomon;BAD;0,02;354960;53147;1392;38,180316091954026
Reed Solomon;BAD;0,02;354960;52886;1392;37,992816091954026
Reed Solomon;BAD;0,02;354960;52860;1392;37,974137931034484
Reed Solomon;BAD;0,02;354960;52990;1392;38,06752873563219
Reed Solomon;BAD;0,02;354960;52749;1392;37,894396551724135
Reed Solomon;BAD;0,02;354960;53202;1392;38,2198275862069
Reed Solomon;BAD;0,02;354960;52702;1392;37,860632183908045
Reed Solomon;BAD;0,02;354960;53302;1392;38,291666666666664
Reed Solomon;BAD;0,02;354960;52935;1392;38,02801724137931
Reed Solomon;BAD;0,02;354960;52538;1392;37,742816091954026
Reed Solomon;BAD;0,02;354960;53243;1392;38,2492816091954
Reed Solomon;BAD;0,02;354960;52817;1392;37,94324712643678
Reed Solomon;BAD;0,02;354960;52605;1392;37,79094827586207
Reed Solomon;BAD;0,02;354960;52994;1392;38,070402298850574
Reed Solomon;BAD;0,02;354960;53104;1392;38,14942528735632
Reed Solomon;BAD;0,02;354960;52797;1392;37,928879310344826
Reed Solomon;BAD;0,02;354960;53225;1392;38,236350574712645
Reed Solomon;BAD;0,02;354960;53019;1392;38,088362068965516
Reed Solomon;BAD;0,02;354960;53454;1392;38,400862068965516
Reed Solomon;BAD;0,02;354960;52932;1392;38,025862068965516
Reed Solomon;BAD;0,02;354960;53021;1392;38,08979885057471
Reed Solomon;BAD;0,02;354960;52536;1392;37,741379310344826
Reed Solomon;BAD;0,02;354960;53013;1392;38,08405172413793
Reed Solomon;BAD;0,02;354960;52721;1392;37,8742816091954
Reed Solomon;BAD;0,02;354960;53135;1392;38,17169540229885
Reed Solomon;BAD;0,02;354960;52864;1392;37,97701149425287
Reed Solomon;BAD;0,02;354960;52796;1392;37,92816091954023
Reed Solomon;BAD;0,02;354960;52986;1392;38,064655172413794
